UniProt_IDs,DrLLPS_labels,UDSM-LLPS (Random) Score,UDSM-LLPS (UniRef) Score,PSPredictor Score
Q07002,client,0.70330876,0.6833368,0.0053
P24941,client,0.781504,0.14369006,0.0076
Q00526,client,0.9621326,0.17647646,0.0036
Q00535,client,0.4106197,0.50561345,0.0123
Q96SN8,client,0.9892541,0.9822839,0.5171
Q96JB5,client,0.27964628,0.14429924,0.0727
P38936,client,0.2851415,0.6807163,0.0236
P42771,client,0.0010925579,0.0026188802,0.0104
Q9NXV6,client,0.4900693,0.7002474,0.9937
Q16667,client,0.3430333,0.2845405,0.0162
Q9UKY7,client,0.83979374,0.69528675,0.9842
Q03701,client,0.8834694,0.47731188,0.3761
Q92879,client,0.97860456,0.61757547,0.92
O95319,client,0.97202635,0.65380853,0.7911
Q8N6W0,client,0.97771055,0.9543179,0.6136
Q96J87,client,0.986907,0.7004107,0.4102
Q8N111,client,0.33899376,0.7911342,0.8968
P49450,client,0.27360433,0.1821671,0.0886
P07199,client,0.060219795,0.69560087,0.5156
P49454,client,0.7325713,0.7512414,0.5405
Q9HC77,client,0.93060064,0.89619344,0.8113
O60308,client,0.91915196,0.46858022,0.6534
Q8N8E3,client,0.9336422,0.049629893,0.431
Q9UPN4,client,0.72578984,0.69181067,0.3582
Q66GS9,client,0.15168296,0.54198587,0.3759
O94986,client,0.8073978,0.43275946,0.6369
Q5TB80,client,0.81139916,0.54585,0.4384
Q9UPV0,client,0.94748,0.6189775,0.7646
Q5SW79,client,0.8439442,0.41537836,0.9837
Q9Y4F5,client,0.69807893,0.461934,0.9404
Q96LK0,client,0.025782118,0.81564796,0.0057
Q8TEP8,client,0.6245052,0.033615097,0.4589
Q9BV73,client,0.5907425,0.96324414,0.7044
O15078,client,0.8696663,0.52054846,0.709
Q9C0D2,client,0.93002695,0.39694944,0.799
Q5VT06,client,0.3146072,0.44427308,0.8893
Q9BYV8,client,0.60665977,0.7217619,0.3211
Q9C0F1,client,0.8204878,0.07543007,0.0175
Q53EZ4,client,0.122821905,0.00016397142,0.0516
Q86XR8,client,0.5380988,0.6307758,0.0607
Q96MT8,client,0.3781095,0.24786212,0.181
Q76N32,client,0.3459479,0.3904578,0.9057
Q8NHQ1,client,0.52898026,0.11702224,0.1056
Q9P209,client,0.21487844,0.23429786,0.84
Q8TAP6,client,0.07157174,0.19043155,0.0206
Q5JTW2,client,0.6727542,0.009566982,0.55
Q9Y592,client,0.63547194,0.37830675,0.3141
Q6P2H3,client,0.943653,0.9276029,0.8848
Q5SZL2,client,0.9506094,0.77826744,0.7257
Q96ST8,client,0.5909308,0.11240952,0.6225
Q96GE4,client,0.9330139,0.3658799,0.3342
Q49MI3,client,0.21403642,0.5127158,0.0157
Q12798,client,0.004542076,0.68307006,0.0239
P41208,client,0.0017821928,0.2863691,0.0634
O15182,client,0.00040734882,0.056375384,0.0038
P00746,client,4.950491e-06,1.564898e-05,0.1219
P23528,client,0.35734352,0.28828487,0.1608
Q9Y281,client,0.49359334,0.7387072,0.0052
Q96JM3,client,0.98980767,0.92232734,0.9597
Q9NX63,client,0.18475966,0.16015173,0.0476
Q9BRQ6,client,0.5170595,0.7105489,0.6873
O14646,client,0.9801978,0.86211133,0.8953
Q12873,client,0.9625914,0.8715166,0.9272
Q14839,client,0.99442697,0.9326173,0.9461
Q8TDI0,client,0.9916889,0.97558105,0.8717
Q9P2D1,client,0.7119215,0.9102641,0.9466
O14757,client,0.32225972,0.08757439,0.0636
O96017,client,0.5344426,0.14554034,0.8994
O00533,client,0.13592564,0.82116944,0.6252
Q9HD42,client,0.008942434,0.17452824,0.0062
Q9Y3E7,client,0.05074186,0.5803327,0.0185
Q9H444,client,0.57221544,0.49024293,0.1618
Q96FZ7,client,0.71837676,0.45640486,0.0311
Q9UHD1,client,0.29808575,0.48119196,0.5312
Q99653,client,0.033136934,0.65429974,0.006
O15111,client,0.65362006,0.1047841,0.7533
Q99828,client,0.29442227,0.027291486,0.0167
Q8TCG1,client,0.44411957,0.23919974,0.0756
Q9NZ45,client,0.027812269,0.04113816,0.0067
Q8N5K1,client,0.0045765177,0.037886415,0.0026
O14578,client,0.91473323,0.27294335,0.5612
Q8WWK9,client,0.24948978,0.4055423,0.8868
Q07065,client,0.2498401,0.09882929,0.9533
Q14008,client,0.6077447,0.6512774,0.433
P12277,client,0.44841918,0.9810394,0.016
Q7Z460,client,0.7236808,0.3555332,0.8899
O75122,client,0.85850906,0.52558416,0.9674
Q9UHP7,client,0.12415638,0.003101299,0.0055
O00299,client,0.027520632,0.124194846,0.0046
O15247,client,0.17775197,0.6532688,0.0169
O95833,client,0.015522501,0.61565953,0.0092
Q9Y696,client,0.052588716,0.13157827,0.0064
Q9NZA1,client,0.26766452,0.42277163,0.1856
Q14677,client,0.97234297,0.9842821,0.9882
Q9UDT6,client,0.78472346,0.57289934,0.8257
Q96DZ5,client,0.21469043,0.13891283,0.4649
P49760,client,0.992015,0.7451598,0.5095
P54105,client,0.0284769,0.115902886,0.0552
Q16740,client,0.32003972,0.016452657,0.0377
O96005,client,0.35590595,0.07678868,0.3884
P09497,client,0.58657855,0.25569123,0.1521
Q00610,client,0.76174176,0.35398525,0.0748
P53675,client,0.0851376,0.06725739,0.0807
P10909,client,0.2218982,0.06465287,0.0397
Q7Z7K0,client,0.36627135,0.6929174,0.0026
P30085,client,0.053549595,0.0010174027,0.0097
Q9BQ75,client,0.11720621,0.39958212,0.0918
Q8IYT2,client,0.36686212,0.0449083,0.1555
P62633,client,0.9904571,0.54400605,0.6656
Q99439,client,0.1877036,0.18540959,0.0288
Q9H9A5,client,0.3830271,0.34290594,0.74
Q9UKZ1,client,0.20784864,0.27930465,0.1012
O75175,client,0.5579306,0.21764934,0.9898
O95628,client,0.96181864,0.95239973,0.9856
Q9UIV1,client,0.5860504,0.8275977,0.0076
Q92600,client,0.30723587,0.07210634,0.0093
P09543,client,0.48142678,0.8758669,0.0954
Q9NXG0,client,0.6902256,0.75420254,0.4185
Q12860,client,0.32503653,0.9635013,0.1712
Q02246,client,0.22744395,0.34360316,0.7735
P78357,client,0.0015291782,0.005295868,0.1636
Q9UHC6,client,0.019627137,0.01753517,0.8356
Q7Z7A1,client,0.69374514,0.6606385,0.6257
Q8N137,client,0.03001959,0.010598424,0.9235
Q13057,client,0.22959659,0.09177757,0.0946
Q96JB2,client,0.08035818,0.097979866,0.7713
R4GMX3,client,0.92626727,0.61199313,0.6863
P21964,client,0.051042486,0.002875329,0.0046
P53621,client,0.70683706,0.6925853,0.1475
P53618,client,0.06797,0.046765,0.156
P35606,client,0.92145324,0.99146855,0.0501
Q9Y678,client,0.041249488,0.009496593,0.4115
P61201,client,0.13652043,0.44047683,0.1013
Q9UNS2,client,0.4129298,0.25784513,0.0182
Q9BT78,client,0.019294763,0.47965196,0.0152
Q92905,client,0.09984793,0.4259498,0.3078
Q7L5N1,client,0.03195786,0.034572892,0.0149
Q9UBW8,client,0.5985343,0.10565751,0.0029
Q9H9Q2,client,0.1033524,0.0734863,0.5915
Q99627,client,0.0087341275,0.06057617,0.0028
P61923,client,0.61987966,0.02799226,0.0095
Q9P299,client,0.0092068035,0.12779316,0.0067
Q9H8M1,client,0.012587503,0.16852713,0.0058
P31146,client,0.9853762,0.81437707,0.0274
Q9BR76,client,0.84024614,0.6911095,0.0494
Q9ULV4,client,0.6433722,0.892985,0.0355
Q92828,client,0.90993047,0.9786904,0.0365
Q9UQ03,client,0.876504,0.98956656,0.0221
P13073,client,0.20106477,0.43827477,0.0075
P20674,client,0.041787207,0.027571222,0.0066
P10606,client,0.029788433,0.63085157,0.0331
P14854,client,0.47948858,0.8515716,0.0384
P09669,client,0.012092128,0.06352153,0.0186
O14548,client,0.22963531,0.9452609,0.0032
P00450,client,0.38101,0.08294872,0.0402
Q9BZB8,client,0.94303185,0.87176967,0.7508
Q8NE35,client,0.9232745,0.9612095,0.9939
Q17RY0,client,0.88878566,0.8806628,0.9862
Q9HCH3,client,0.41089872,0.98401076,0.02
O95741,client,0.66899914,0.16707525,0.1608
P31327,client,0.091324925,0.08526046,0.2078
Q16630,client,0.9912827,0.997139,0.9789
Q8N684,client,0.9682063,0.9819051,0.9572
P50416,client,0.005280292,0.17749405,0.105
Q9H3G5,client,0.16850255,0.0027496454,0.0078
P29762,client,0.23824516,0.94804764,0.0053
P43155,client,0.12111399,0.07814399,0.0172
Q9BUF7,client,0.008649112,0.00061286293,0.0205
P52943,client,0.48374796,0.3013674,0.4247
P46109,client,0.99846977,0.9997242,0.3261
Q14194,client,0.9797035,0.99341875,0.7085
Q5TZA2,client,0.125222,0.7228268,0.236
Q9NQ79,client,0.0044386974,0.004010449,0.8116
P02489,client,0.43487808,0.20202835,0.0274
P02511,client,0.82497054,0.994478,0.0164
Q14894,client,0.160884,0.04810152,0.0254
Q08257,client,0.03738191,0.0067754183,0.1362
O75390,client,0.16864355,0.041441113,0.0199
P55060,client,0.045298297,0.0014908874,0.1683
P07333,client,0.015970746,0.23605978,0.7664
P47710,client,0.096476644,0.33729243,0.0057
P48729,client,0.9312412,0.94472075,0.2299
P48730,client,0.97046834,0.9374994,0.0282
P49674,client,0.85469085,0.8122576,0.0139
P19784,client,0.60307324,0.18532103,0.0151
Q1MSJ5,client,0.96589315,0.7828904,0.6113
P21291,client,0.9989008,0.99972564,0.2492
P01037,client,0.002540594,0.040314693,0.003
P04080,client,0.31994224,0.8690678,0.0314
Q05048,client,0.9987967,0.970487,0.0183
Q13363,client,0.042921163,0.19463041,0.0033
Q05D32,client,0.32117775,0.56915647,0.6316
P35221,client,0.48419788,0.020362457,0.5001
P26232,client,0.60582507,0.04209161,0.6759
P35222,client,0.18092275,0.8441241,0.5638
Q8WYA6,client,0.15554321,0.083422974,0.0408
O60716,client,0.87887007,0.601244,0.1485
Q9UQB3,client,0.8620452,0.37306944,0.985
P17812,client,0.06282469,0.71483487,0.0108
Q9P2B4,client,0.72343814,0.55163145,0.645
Q13618,client,0.14857559,0.63880605,0.3622
Q13620,client,0.21589749,0.634334,0.9659
Q96C57,client,0.21630378,0.1268793,0.6961
Q9NTM9,client,0.07837903,0.13897374,0.0633
Q9HCG8,client,0.9855995,0.92683125,0.9513
Q9H5V9,client,0.92267084,0.59343696,0.1279
Q9UHQ9,client,0.0013606132,0.023152,0.053
Q6BCY4,client,0.073316924,0.4847108,0.0813
P00387,client,0.047409117,0.07487423,0.0063
P13498,client,0.015176885,0.0023774542,0.0073
Q53TN4,client,0.009011635,0.003282468,0.0062
P99999,client,0.20258728,0.21597546,0.2245
Q96F07,client,0.31168422,0.02378074,0.0508
Q9NQC7,client,0.11795821,0.7877761,0.369
Q6UW02,client,0.0070826025,0.02467284,0.0043
Q99418,client,0.8633988,0.54154605,0.0264
O43739,client,0.71719074,0.69469434,0.0862
Q9Y4D1,client,0.9160779,0.32575765,0.7067
Q86T65,client,0.8657381,0.6207475,0.5238
Q5VWQ8,client,0.8244606,0.120465815,0.648
P61803,client,0.011401966,0.0018713351,0.0101
O43293,client,0.28179285,0.08147279,0.0578
P14868,client,0.6505174,0.17769182,0.0804
Q6PI48,client,0.28110975,0.159419,0.0175
Q8N136,client,0.9878539,0.9159659,0.0582
Q15038,client,0.8876819,0.9482558,0.0419
Q16643,client,0.37672323,0.6887446,0.9757
Q9UJU6,client,0.98685956,0.08255255,0.3246
P11182,client,0.2443741,0.030518457,0.6743
Q5T6F0,client,0.5705286,0.006412349,0.1289
Q9NV06,client,0.9624584,0.6677493,0.4781
Q8WVC6,client,0.043745592,0.092415795,0.0017
P81605,client,0.036128707,0.019288108,0.3164
O15075,client,0.8550728,0.2526652,0.6142
Q8N568,client,0.95690334,0.09561699,0.977
Q14203,client,0.64973545,0.18699928,0.5151
Q13561,client,0.72227436,0.7965259,0.0318
O75935,client,0.31893474,0.675037,0.0023
Q9UJW0,client,0.5151215,0.64482766,0.0234
Q9H773,client,0.01833834,0.4481642,0.0133
O43602,client,0.96871793,0.7758874,0.9883
O94760,client,0.0521227,0.1145173,0.0054
Q16531,client,0.001425243,0.0016534028,0.4466
Q9NX09,client,0.093516834,0.03062855,0.077
P39656,client,0.06431772,0.057523467,0.0062
Q96HY6,client,0.26217565,0.2792136,0.0109
Q92499,client,0.68173593,0.9638152,0.802
Q13206,client,0.8629545,0.5394137,0.2043
Q96FC9,client,0.88726705,0.42289075,0.6294
Q92841,client,0.96845555,0.9402044,0.9231
Q9NUU7,client,0.7640918,0.94202054,0.0452
Q9NR30,client,0.9931311,0.99932003,0.9921
Q9BUQ8,client,0.98004603,0.97143584,0.1926
Q9GZR7,client,0.96789986,0.884295,0.8971
Q96GQ7,client,0.9304207,0.98662823,0.4547
Q9NUL7,client,0.2169114,0.75392646,0.3003
Q9H8H2,client,0.92332137,0.8597422,0.9
O00148,client,0.69458884,0.95815086,0.0079
O15523,client,0.99968755,0.9945134,0.9453
Q9UJV9,client,0.38948718,0.9782249,0.639
Q86XP3,client,0.9953518,0.99486583,0.8732
Q9NXZ2,client,0.9659946,0.6408332,0.0151
Q7L014,client,0.9763559,0.9159605,0.4545
Q9H0S4,client,0.95769453,0.9839028,0.013
Q9Y6V7,client,0.919432,0.9345505,0.0188
P17844,client,0.9919206,0.98079705,0.4192
Q9BQ39,client,0.99776185,0.9842535,0.9234
Q8N8A6,client,0.79593927,0.46601692,0.5138
Q9Y2R4,client,0.96710235,0.8560708,0.9602
Q86TM3,client,0.96136934,0.85180414,0.9494
Q8TDD1,client,0.95645416,0.96586233,0.4432
Q8NHQ9,client,0.3187414,0.91639847,0.5826
Q9NY93,client,0.8381696,0.7606313,0.0198
O95786,client,0.6701501,0.5521739,0.2293
Q16698,client,0.16653828,0.3920778,0.0447
P35659,client,0.97297984,0.6453663,0.9115
O43583,client,0.8829902,0.96881425,0.173
Q9Y315,client,0.27496216,0.2341989,0.0081
P17661,client,0.0010678336,0.017750718,0.2293
Q8WYQ5,client,0.7329712,0.44730848,0.9697
Q9Y6T7,client,0.26355705,0.70095646,0.4985
Q7Z3D6,client,0.030658407,0.028504299,0.0499
O43143,client,0.89867556,0.8557973,0.0579
Q7Z478,client,0.9112742,0.5543646,0.1057
Q7L2E3,client,0.8606235,0.3639373,0.4197
Q9H6R0,client,0.7544062,0.5109124,0.3646
Q6P158,client,0.7986988,0.6860374,0.4649
Q96C10,client,0.81109226,0.81615263,0.2987
Q14562,client,0.8490076,0.8710852,0.6557
Q08211,client,0.9452794,0.8113109,0.1976
Q9UPY3,client,0.88932407,0.34578022,0.095
Q68CQ4,client,0.4298952,0.061607435,0.173
Q9P265,client,0.6710823,0.066534996,0.2021
Q96HU8,client,0.8866923,0.9747772,0.008
Q8TF46,client,0.13916689,0.42342034,0.076
Q8IYB7,client,0.6508499,0.24646094,0.1697
Q9NRI5,client,0.34430206,0.22209491,0.6921
Q155Q3,client,0.6479334,0.2918049,0.7794
P09622,client,0.18155248,0.29975557,0.2183
Q12959,client,0.9914306,0.99632686,0.9113
Q15700,client,0.99314684,0.9814067,0.9186
Q92796,client,0.97158563,0.9294158,0.9384
Q9P1A6,client,0.99635774,0.99488455,0.9819
O95886,client,0.98526496,0.99976915,0.9815
Q9Y2H0,client,0.95423365,0.99627423,0.9909
P36957,client,0.30668652,0.2730159,0.1323
Q6E0U4,client,0.8737264,0.9977028,0.9982
Q08495,client,0.88974607,0.45623618,0.7779
Q09019,client,0.082140595,0.8706246,0.7356
Q8TDJ6,client,0.98146594,0.5714267,0.515
Q8WXU2,client,0.86812675,0.026566662,0.0222
O60884,client,0.8857284,0.860323,0.3213
Q96EY1,client,0.8355048,0.3234492,0.3829
Q8WW22,client,0.27550682,0.37827787,0.4842
P25685,client,0.96848404,0.9547825,0.0461
P59910,client,0.9611885,0.82451123,0.0309
Q8TBM8,client,0.20490678,0.14417422,0.8021
P25686,client,0.66286916,0.89995426,0.6566
O75953,client,0.014807874,0.8741069,0.1006
O75190,client,0.80332315,0.90808403,0.4848
Q9NVH1,client,0.5140508,0.10931281,0.0097
O75165,client,0.26246795,0.04560219,0.0668
Q9NVM6,client,0.6405901,0.39357284,0.0516
Q96DA6,client,0.12781575,0.7945186,0.0042
O75061,client,0.79777634,0.3450249,0.9755
Q99615,client,0.43115544,0.078789376,0.045
O75937,client,0.7087354,0.5662075,0.4691
Q05193,client,0.72304916,0.95556945,0.7165
O00429,client,0.4100229,0.85813224,0.4222
P50570,client,0.9522238,0.941391,0.7663
Q9UQ16,client,0.9277814,0.758679,0.9186
P26358,client,0.950325,0.8320944,0.5497
Q14185,client,0.65550154,0.4122904,0.1576
Q96BY6,client,0.6316234,0.14643593,0.0398
Q92608,client,0.6533138,0.62066376,0.2035
Q8IZD9,client,0.82309675,0.20465684,0.2041
Q9H7D0,client,0.8448071,0.36057764,0.1495
Q9BZ29,client,0.491325,0.7656118,0.1258
Q9NYP3,client,0.123540536,0.2526097,0.327
P42658,client,0.04421642,0.09446681,0.9086
Q7Z7J5,client,0.41471404,0.5040816,0.0292
A6NC42,client,0.25782725,0.21899736,0.0025
Q16555,client,0.97652495,0.99824524,0.5868
Q14195,client,0.91239846,0.9875919,0.2995
O14531,client,0.9238498,0.9521731,0.0053
P55039,client,0.8787455,0.7176194,0.0308
Q9NRR4,client,0.80189896,0.7498521,0.8879
Q08554,client,0.16187333,0.79286534,0.3568
Q02413,client,0.046833653,0.75348884,0.7869
P15924,client,0.36136094,0.6007336,0.6778
Q03001,client,0.60218376,0.37364647,0.7861
P60981,client,0.7647056,0.97056335,0.0069
Q9NZJ0,client,0.7381837,0.7338683,0.9851
Q9Y4J8,client,0.98994774,0.63150555,0.9685
Q8TDB6,client,0.49225077,0.08521229,0.9948
O75319,client,0.7813349,0.20711195,0.0871
Q9BVJ7,client,0.0016872197,0.18634644,0.0121
Q92997,client,0.96714425,0.9333168,0.9893
Q13409,client,0.86117893,0.8978028,0.331
Q9Y6G9,client,0.7394491,0.8561782,0.7813
O43237,client,0.3587713,0.7910158,0.4523
P63167,client,0.13162273,0.00066457706,0.0122
Q9NP97,client,0.09400199,0.0032180026,0.0345
Q8TF09,client,0.120752245,0.41135833,0.0165
Q86YF9,client,0.8573655,0.56461096,0.7585
Q86Y13,client,0.9412034,0.09393624,0.5709
Q96CJ1,client,0.6906528,0.43100497,0.9611
Q99848,client,0.9478969,0.8828614,0.6266
O75521,client,0.016393496,0.19031163,0.0215
Q5VYK3,client,0.14788128,0.07638773,0.5449
Q8WWZ3,client,0.6250274,0.46426153,0.0265
O60869,client,0.9957488,0.99789655,0.1163
Q15075,client,0.20620456,0.32419994,0.576
O75530,client,0.9965809,0.8663704,0.1347
P68104,client,0.8068309,0.99999106,0.0677
Q05639,client,0.964068,0.9707638,0.0071
P24534,client,0.3529314,0.25362873,0.1355
P29692,client,0.33514062,0.20390294,0.8834
O43324,client,0.17331588,0.016760247,0.0315
P26641,client,0.041040145,0.06634814,0.1283
Q5JVL4,client,0.65874046,0.3298237,0.0292
Q96C19,client,0.13130711,0.9359955,0.0177
Q14156,client,0.031694103,0.198127,0.0578
Q9Y2G0,client,0.069140114,0.14080012,0.4215
Q9H4M9,client,0.8997764,0.9901337,0.0325
Q9NZN4,client,0.8106284,0.974797,0.016
Q9NZN3,client,0.9110453,0.98611337,0.0038
Q9H223,client,0.88706654,0.9852637,0.0032
P41567,client,0.6537856,0.9955194,0.0128
P47813,client,0.90349805,0.9998889,0.0051
Q9BY44,client,0.9634566,0.98975813,0.6685
Q9UI10,client,0.47478005,0.20677342,0.0971
P20042,client,0.72284806,0.4798872,0.5334
P41091,client,0.045119967,0.9973456,0.0608
O15372,client,0.7886593,0.14255662,0.638
O75822,client,0.1934735,0.41673312,0.9443
Q9UBQ5,client,0.23613964,0.018024327,0.0154
Q9Y262,client,0.39064124,0.38178208,0.0319
Q7L2H7,client,0.030239774,0.11414751,0.0196
P38919,client,0.55980647,0.9665527,0.017
O60573,client,0.4703161,0.6209293,0.004
P78344,client,0.9097887,0.82239455,0.9374
Q15056,client,0.9975883,0.9981407,0.856
Q9GZV4,client,0.9801365,0.95673,0.0061
Q6IS14,client,0.9684391,0.68337315,0.0072
O60841,client,0.93445104,0.53535396,0.9628
Q9BQ52,client,0.6271794,0.21805719,0.35
Q12926,client,0.9987068,0.9999912,0.0103
Q14576,client,0.945055,0.99973303,0.1899
P26378,client,0.98877513,0.99973816,0.0474
Q5R3F8,client,0.016934413,0.017213488,0.9173
Q96JJ3,client,0.017235572,0.037665125,0.5322
Q14241,client,0.93418986,0.6372816,0.9781
Q8IYF1,client,0.36158642,0.4630055,0.8496
Q3SY89,client,0.39906752,0.83223003,0.6073
Q9BW60,client,0.05256414,0.0012694448,0.0288
A1L3X0,client,0.05729268,0.002255789,0.0071
Q6IA86,client,0.7867339,0.9693319,0.7615
Q8N766,client,0.049592666,0.006096496,0.4002
Q15006,client,0.5745847,0.14449148,0.0024
Q5J8M3,client,0.06064753,0.13782474,0.0447
Q92979,client,0.9035122,0.6727695,0.0131
P06733,client,0.4242511,0.98114645,0.2439
P09104,client,0.7879522,0.9661234,0.0738
P13929,client,0.40707296,0.9619842,0.0401
Q8TC92,client,0.21428992,0.4774326,0.4355
Q6UWR7,client,0.62986887,0.009236398,0.0045
P49961,client,0.00014935355,0.20252949,0.0101
P11171,client,0.929059,0.9281442,0.4381
O43491,client,0.92312527,0.50167745,0.9305
Q9Y2J2,client,0.5881591,0.5136419,0.7355
P16452,client,0.033590186,0.21426661,0.1321
P54764,client,0.22375466,0.75022125,0.1005
P01588,client,7.942276e-05,0.009799125,0.0041
P58107,client,0.001191562,0.65398276,0.2152
P07814,client,0.46482265,0.011109345,0.4241
Q9UBC2,client,0.8306004,0.54636425,0.9899
P11678,client,0.0031720735,0.008238452,0.0552
O75616,client,0.34345502,0.67377955,0.0925
Q96RT1,client,0.96229476,0.82961583,0.9014
Q8IUD2,client,0.76715004,0.38991636,0.2034
O15083,client,0.1040973,0.85463595,0.7455
P18074,client,0.096275106,0.26343426,0.0354
O75477,client,0.022406971,0.0031617952,0.2045
O94905,client,0.17106448,0.008207854,0.0145
Q9H501,client,0.73515046,0.8723868,0.43
Q14674,client,0.28979355,0.12745705,0.3193
Q9BSJ8,client,0.6248621,0.17749722,0.1259
A0FGR8,client,0.27571553,0.009654676,0.3738
A0FGR9,client,0.056322664,0.06506835,0.3127
P13804,client,0.023887713,0.027545502,0.0106
O60447,client,0.4019152,0.52859855,0.7144
Q9UI08,client,0.6832176,0.6915283,0.992
Q9NV70,client,0.26385272,0.018716551,0.2183
Q96KP1,client,0.66949105,0.20419045,0.4133
O60645,client,0.26901034,0.09981221,0.1612
Q96A65,client,0.2264769,0.18093342,0.1154
O00471,client,0.23471755,0.044700682,0.4735
Q8TAG9,client,0.30002907,0.048160393,0.1309
Q9Y2D4,client,0.48789954,0.020244721,0.1016
Q9UPT5,client,0.26661196,0.00860634,0.2591
Q8IYI6,client,0.35474208,0.1546832,0.2976
Q9Y3B2,client,0.1336044,0.38794717,0.0324
Q01780,client,0.918501,0.7515241,0.7885
Q13868,client,0.21698354,0.16391905,0.0068
Q9NPD3,client,0.13626343,0.2605484,0.0046
Q9NQT4,client,0.032712724,0.37667224,0.0163
Q5RKV6,client,0.021657221,0.092360996,0.0361
Q96B26,client,0.0122723095,0.6592053,0.0509
Q06265,client,0.94102246,0.4891539,0.0041
P12259,client,0.9444884,0.9918698,0.3451
P00451,client,0.591963,0.09359865,0.1745
O00519,client,0.06607612,0.03521974,0.0244
P05413,client,0.92328316,0.9958229,0.0086
Q01469,client,0.22068669,0.7162663,0.0052
O15540,client,0.16785164,0.6690097,0.0048
Q6P587,client,0.26126662,0.22184134,0.0881
O95990,client,0.96050763,0.5875747,0.0406
Q9BQ89,client,0.05726453,0.45400104,0.7942
Q8TC76,client,0.5453593,0.6189137,0.8953
Q1W6H9,client,0.07994771,0.54788405,0.9644
Q9NZB2,client,0.84102815,0.5345702,0.9585
Q9NX05,client,0.8888236,0.66623205,0.8827
Q5BKY9,client,0.99201864,0.9947523,0.9924
Q96C01,client,0.07958461,0.29552242,0.2805
Q3B820,client,0.5883032,0.3352323,0.4746
Q92567,client,0.7984382,0.8828655,0.9878
A1KXE4,client,0.9856274,0.9917161,0.857
Q5VUB5,client,0.14314589,0.22519916,0.8145
Q9GZU8,client,0.8639602,0.8820465,0.0525
P78312,client,0.63324577,0.8792574,0.9435
Q96PV7,client,0.37073424,0.92653614,0.9968
Q9H8W3,client,0.55394626,0.5982469,0.031
Q9NSI2,client,0.6747929,0.95955473,0.067
Q96D05,client,0.5483744,0.19618316,0.1095
Q9H0Q0,client,0.11537935,0.026944254,0.0161
Q9NUQ9,client,0.116396725,0.025705494,0.0606
Q14320,client,0.8255202,0.2815996,0.1285
Q6NSI3,client,0.15610096,0.46660998,0.9052
Q14153,client,0.7064774,0.9854323,0.6441
Q5HYJ3,client,0.8825461,0.97513527,0.6939
Q6ZRV2,client,0.44851583,0.95505583,0.6578
Q52LJ0,client,0.9974572,0.998334,0.8212
Q8IZU0,client,0.783607,0.8515363,0.0408
O15360,client,0.27446795,0.12502502,0.3014
Q9Y4F1,client,0.25742567,0.09626313,0.3541
Q9Y285,client,0.14409782,0.6955798,0.005
Q9NSD9,client,0.04764693,0.106629126,0.0229
P49327,client,0.02348757,0.114337094,0.295
Q14296,client,0.17056899,0.13670646,0.0634
Q53R41,client,0.08896355,0.06573936,0.1941
Q9NYY8,client,0.05398185,0.056235533,0.1773
Q7L8L6,client,0.31084478,0.10037372,0.1085
Q9HCM7,client,0.3365508,0.49278262,0.7849
Q96ME1,client,0.24386548,0.033123586,0.4483
Q9UK22,client,0.16099931,0.045056198,0.0145
Q8TF61,client,0.15316418,0.1672104,0.8779
P14324,client,0.18493672,0.0056579527,0.0045
Q99689,client,0.45484805,0.31773058,0.4867
P02675,client,0.06367084,0.26513878,0.3233
P09038,client,0.17221189,0.6234114,0.8797
P11362,client,0.2867998,0.5689801,0.5441
O95684,client,0.48635122,0.33712092,0.5062
P21802,client,0.3913178,0.41476086,0.3581
P22607,client,0.17315319,0.5810908,0.5198
P22455,client,0.30165324,0.50713575,0.5742
P02679,client,0.10302789,0.1288108,0.157
P07954,client,0.025824301,0.0224403,0.2085
Q13642,client,0.9541249,0.9840412,0.5677
Q14192,client,0.9459515,0.9936504,0.6581
Q5HY92,client,0.8022146,0.951299,0.8769
Q5T1M5,client,0.7844836,0.9748693,0.8351
P68106,client,0.9244961,0.86739504,0.0025
Q02790,client,0.8699881,0.8888431,0.0336
Q14318,client,0.6853729,0.14416829,0.0442
Q13045,client,0.7066678,0.077386014,0.0318
Q14315,client,0.5604539,0.9935062,0.4078
O75955,client,0.69922054,0.25140592,0.0059
Q14254,client,0.51613694,0.029782709,0.0055
Q96HJ9,client,0.9882118,0.9422513,0.0246
Q9NZ56,client,0.3015071,0.78033584,0.9385
O95466,client,0.84546965,0.55701524,0.9023
Q96PY5,client,0.75276643,0.52343816,0.5058
Q8IVF7,client,0.60145265,0.41368556,0.6113
Q9H479,client,0.12989253,0.5334657,0.0091
Q53EP0,client,0.20355691,0.9779629,0.6512
Q8TF40,client,0.39133212,0.15334149,0.3682
Q96NB1,client,0.23501499,0.5512622,0.004
P01100,client,0.7241077,0.6034541,0.5959
P15407,client,0.7175998,0.78758544,0.9331
P15408,client,0.82883227,0.8532424,0.9512
O75593,client,0.48578918,0.803336,0.6308
Q14331,client,0.23586312,0.86885804,0.5358
Q9BZ67,client,0.061310455,0.26793215,0.0747
O94915,client,0.6593125,0.13065162,0.1548
Q5H9T9,client,0.82096475,0.9981147,0.9866
Q16658,client,0.039414562,0.26563743,0.0085
Q9BTV5,client,0.86723983,0.29149973,0.0067
O95954,client,0.10825099,0.029353075,0.0111
P02794,client,0.783143,0.6075704,0.0107
